campaign,class,sigma,n,n_claimable,bank_n,bank_mean,bank_max,champion_E,cand_mean_E,cand_min_E,cand_max_E,mean_gain_pct,champ_gain_pct,mean_gain_sem_pct,best_draw_gain_pct,champ_vs_cell_max_pct,champ_vs_global_max_pct,n_above_cell_max,n_above_global_max,spearman_pred_true,surrogate_bias
jitter_s006,jitter,0.06,20,20,155,2.6159540793251312,2.642179411458847,2.65079,2.6392965,2.62777,2.65079,0.89225,1.331,0.05799822479134485,1.0025150036456765,0.3258896236875586,0.22250326571275902,8,4,0.039097744360902256,-0.0006782217321738227
jitter_s008,jitter,0.08,20,20,155,2.623929846701721,2.6449048907689052,2.66569,2.648092,2.63812,2.66569,0.92085,1.591,0.06550473164910343,0.7993751850320807,0.7858546938166899,0.7858505314935815,10,10,0.055639097744360905,-0.006076964282351072
jitter_s010,jitter,0.1,20,20,155,2.6207962121362836,2.638550148964483,2.66264,2.6481985,2.6316,2.66264,1.04555,1.596,0.07020085750713335,0.677425308613655,0.912995761894897,0.6705344804444735,17,14,0.20601503759398496,-0.006989492496388694
jitter_s0125,jitter,0.125,20,20,155,2.613057891463309,2.6421257138990577,2.66086,2.645033,2.62643,2.66086,1.22365,1.829,0.06420597098811229,1.112406369974095,0.7090611170539551,0.6032352768813976,12,10,0.18045112781954886,-0.00457026589346059
jitter_s015,jitter,0.15,20,20,155,2.6035945841915313,2.6282671593577978,2.66753,2.647203,2.62,2.66753,1.67495,2.456,0.09709229128162436,0.9476350625428731,1.4938679465064775,0.8554182475362992,19,14,-0.07067669172932331,-0.007844398072240355
radius_s015,radius,0.15,20,20,155,2.599456351270565,2.62308208437874,2.65471,2.648556,2.64431,2.65471,1.8889,2.126,0.030914219177725008,0.9088720838350328,1.2057539415031737,0.37071274771682816,20,15,0.23157894736842105,-0.015062938884180532
radius_s020,radius,0.2,20,20,155,2.6037573112963113,2.627785410283479,2.66399,2.6509545,2.63391,2.66399,1.8127,2.313,0.06034680909891635,0.9228240620937633,1.3777605117540892,0.721576011236702,20,18,0.3804511278195489,-0.016875462187533264
radius_s025,radius,0.25,20,20,155,2.5895649827067047,2.620337384627402,2.65644,2.6443305,2.6321,2.65644,2.11485,2.582,0.06941519911677163,1.1883232174592084,1.3777849976266188,0.43612152421352857,20,10,0.47969924812030074,-0.012564078359390395
