n_train,n_member_train,n_test,best_val_loss,test_mae,test_rmse,test_r2,test_pct_error,test_within_sigma_spearman,n_members,mean_ensemble_std,mean_pred_sigma_total,mean_aleatoric_std,mean_epistemic_std,mean_entropy,rms_pred_sigma_total,rms_aleatoric_std,rms_epistemic_std
50,144,137,0.2505083978176117,0.009881528094410896,0.01247837208211422,0.8026080131530762,0.3821144998073578,0.285559428040631,5,0.0073994058184325695,0.016375279054045677,0.014713439159095287,0.006618230137974024,-2.7251439094543457,0.016812339425086975,0.015002389438450336,0.007588352542370558
100,184,137,0.1331784427165985,0.008891133591532707,0.011433910578489304,0.8342691659927368,0.3442319929599762,0.290852631078195,5,0.004923616070300341,0.01298751961439848,0.012035180814564228,0.004403816070407629,-2.9823973178863525,0.01363308634608984,0.012486281804740429,0.00547300698235631
200,264,137,0.18325841426849365,0.00845563318580389,0.010911034420132637,0.8490804433822632,0.32747682929039,0.3035472046750242,5,0.0026360105257481337,0.010843761265277863,0.010516772046685219,0.002357719698920846,-3.1434710025787354,0.011240290477871895,0.010866121388971806,0.002876025391742587
500,505,137,0.1908484399318695,0.008650165051221848,0.011111307889223099,0.8434892892837524,0.33485159277915955,0.30261793344500115,5,0.0023772858548909426,0.010242780670523643,0.00993821956217289,0.0021263090893626213,-3.1917359828948975,0.01056609209626913,0.010212857276201248,0.00270921946503222
1000,905,137,0.13818113505840302,0.007093051914125681,0.009505200199782848,0.8854655027389526,0.27439412474632263,0.3914074647157354,5,0.0020581770222634077,0.00935668870806694,0.009136472828686237,0.0018408894538879395,-3.2743544578552246,0.009556351229548454,0.009325418621301651,0.002088161651045084
1500,1303,137,0.06515169143676758,0.005751632619649172,0.007326798979192972,0.9319477677345276,0.22210197150707245,0.5501790189760115,5,0.0019225673750042915,0.0075767021626234055,0.00733747985213995,0.001719596446491778,-3.4761276245117188,0.0076703657396137714,0.007416456006467342,0.0019572165329009295
2000,1705,137,0.08818589150905609,0.005765337031334639,0.0075009786523878574,0.9286737442016602,0.22270558774471283,0.5373508696816968,5,0.002444614190608263,0.008025109767913818,0.007658575661480427,0.0021865293383598328,-3.418816089630127,0.008127336390316486,0.007730107754468918,0.002509788144379854
2450,2066,137,0.032019954174757004,0.005307710729539394,0.00682427454739809,0.9409626722335815,0.20482879877090454,0.5924552890718304,5,0.0016198387602344155,0.006997296120971441,0.006810029968619347,0.0014488279120996594,-3.550666332244873,0.007047292310744524,0.006857383996248245,0.0016249966574832797
