name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.64456,2.64345,2.64439,0.900,CLAIMABLE,nan
candidate_0001,cmaes,2.64428,2.64338,2.64284,0.841,CLAIMABLE,nan
candidate_0002,cmaes,2.64432,2.64321,2.64729,1.011,CLAIMABLE,nan
candidate_0003,cmaes,2.64404,2.64314,2.64486,0.918,CLAIMABLE,nan
candidate_0004,cmaes,2.64391,2.64299,2.64876,1.067,CLAIMABLE,nan
candidate_0005,cmaes,2.64403,2.64294,2.65973,1.486,CLAIMABLE,nan
candidate_0006,cmaes,2.64390,2.64278,2.65514,1.311,CLAIMABLE,nan
candidate_0007,cmaes,2.64363,2.64271,2.64351,0.867,CLAIMABLE,nan
candidate_0008,cmaes,2.64333,2.64258,2.65046,1.132,CLAIMABLE,nan
candidate_0009,cmaes,2.64359,2.64250,2.64029,0.744,CLAIMABLE,nan
candidate_0010,cmaes,2.64324,2.64241,2.64463,0.910,CLAIMABLE,nan
candidate_0011,cmaes,2.64257,2.64178,2.64338,0.862,CLAIMABLE,nan
candidate_0012,gradient,2.64186,2.64115,2.64304,0.849,CLAIMABLE,nan
candidate_0013,gradient,2.64176,2.64106,2.64967,1.102,CLAIMABLE,nan
candidate_0014,gradient,2.64145,2.64059,2.64783,1.032,CLAIMABLE,nan
candidate_0015,gradient,2.64117,2.64048,2.64009,0.736,CLAIMABLE,nan
candidate_0016,gradient,2.64109,2.64039,2.65356,1.250,CLAIMABLE,nan
candidate_0017,gradient,2.64115,2.64034,2.64368,0.873,CLAIMABLE,nan
candidate_0018,gradient,2.64111,2.64033,2.65584,1.337,CLAIMABLE,nan
candidate_0019,gradient,2.64097,2.64008,2.64821,1.046,CLAIMABLE,nan
