name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.64267,2.64124,2.64155,0.792,CLAIMABLE,nan
candidate_0001,cmaes,2.64260,2.64114,2.65427,1.277,CLAIMABLE,nan
candidate_0002,cmaes,2.64259,2.64112,2.65167,1.178,CLAIMABLE,nan
candidate_0003,cmaes,2.64218,2.64073,2.65432,1.279,CLAIMABLE,nan
candidate_0004,cmaes,2.64214,2.64069,2.63160,0.412,CLAIMABLE,nan
candidate_0005,cmaes,2.64210,2.64065,2.65163,1.177,CLAIMABLE,nan
candidate_0006,cmaes,2.64197,2.64051,2.64693,0.997,CLAIMABLE,nan
candidate_0007,cmaes,2.64196,2.64048,2.66264,1.596,CLAIMABLE,nan
candidate_0008,cmaes,2.64193,2.64046,2.64555,0.944,CLAIMABLE,nan
candidate_0009,cmaes,2.64181,2.64034,2.65914,1.463,CLAIMABLE,nan
candidate_0010,cmaes,2.64179,2.64032,2.63496,0.540,CLAIMABLE,nan
candidate_0011,cmaes,2.64174,2.64027,2.64592,0.959,CLAIMABLE,nan
candidate_0012,gradient,2.64035,2.63885,2.65291,1.225,CLAIMABLE,nan
candidate_0013,gradient,2.64020,2.63873,2.65155,1.174,CLAIMABLE,nan
candidate_0014,gradient,2.64004,2.63854,2.65812,1.424,CLAIMABLE,nan
candidate_0015,gradient,2.63990,2.63845,2.64804,1.040,CLAIMABLE,nan
candidate_0016,gradient,2.63963,2.63816,2.64461,0.909,CLAIMABLE,nan
candidate_0017,gradient,2.63963,2.63814,2.65064,1.139,CLAIMABLE,nan
candidate_0018,gradient,2.63949,2.63802,2.63511,0.546,CLAIMABLE,nan
candidate_0019,gradient,2.63947,2.63797,2.64281,0.840,CLAIMABLE,nan
