name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.63643,2.63508,2.66399,2.313,CLAIMABLE,nan
candidate_0001,cmaes,2.63571,2.63434,2.65861,2.107,CLAIMABLE,nan
candidate_0002,cmaes,2.63539,2.63410,2.64858,1.722,CLAIMABLE,nan
candidate_0003,cmaes,2.63516,2.63384,2.65278,1.883,CLAIMABLE,nan
candidate_0004,cmaes,2.63517,2.63381,2.65373,1.919,CLAIMABLE,nan
candidate_0005,cmaes,2.63504,2.63374,2.64711,1.665,CLAIMABLE,nan
candidate_0006,cmaes,2.63469,2.63337,2.63982,1.385,CLAIMABLE,nan
candidate_0007,cmaes,2.63463,2.63328,2.65118,1.821,CLAIMABLE,nan
candidate_0008,gradient,2.63461,2.63325,2.66025,2.170,CLAIMABLE,nan
candidate_0009,cmaes,2.63454,2.63319,2.64685,1.655,CLAIMABLE,nan
candidate_0010,cmaes,2.63447,2.63315,2.65749,2.064,CLAIMABLE,nan
candidate_0011,cmaes,2.63409,2.63271,2.65358,1.913,CLAIMABLE,nan
candidate_0012,gradient,2.63397,2.63258,2.65864,2.108,CLAIMABLE,nan
candidate_0013,cmaes,2.63314,2.63182,2.63391,1.158,CLAIMABLE,nan
candidate_0014,gradient,2.63281,2.63145,2.64570,1.611,CLAIMABLE,nan
candidate_0015,gradient,2.63267,2.63128,2.65098,1.814,CLAIMABLE,nan
candidate_0016,gradient,2.63234,2.63099,2.65065,1.801,CLAIMABLE,nan
candidate_0017,gradient,2.63228,2.63094,2.65013,1.781,CLAIMABLE,nan
candidate_0018,gradient,2.63223,2.63085,2.64774,1.689,CLAIMABLE,nan
candidate_0019,gradient,2.63222,2.63081,2.64737,1.675,CLAIMABLE,nan
