name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,random,2.61999,2.61999,2.60492,-0.606,below mean,nan
candidate_0001,random,2.61511,2.61511,2.61185,-0.341,below mean,nan
candidate_0002,random,2.61840,2.61840,2.63122,0.398,CLAIMABLE,nan
candidate_0003,random,2.62471,2.62471,2.62330,0.096,ELITE-VERIFY,nan
candidate_0004,random,2.62145,2.62145,2.62321,0.092,ELITE-VERIFY,nan
candidate_0005,random,2.61925,2.61925,2.61426,-0.250,below mean,nan
candidate_0006,random,2.60917,2.60917,2.60626,-0.555,below mean,nan
candidate_0007,random,2.62452,2.62452,2.62362,0.108,ELITE-VERIFY,nan
candidate_0008,random,2.62140,2.62140,2.61634,-0.170,below mean,nan
candidate_0009,random,2.61682,2.61682,2.60736,-0.513,below mean,nan
candidate_0010,random,2.61422,2.61422,2.59921,-0.824,below mean,nan
candidate_0011,random,2.62451,2.62451,2.62347,0.102,ELITE-VERIFY,nan
candidate_0012,random,2.62040,2.62040,2.61690,-0.148,below mean,nan
candidate_0013,random,2.62452,2.62452,2.62566,0.186,ELITE-VERIFY,nan
candidate_0014,random,2.62092,2.62092,2.62166,0.033,ELITE-VERIFY,nan
candidate_0015,random,2.62559,2.62559,2.63511,0.546,CLAIMABLE,nan
candidate_0016,random,2.62349,2.62349,2.61575,-0.192,below mean,nan
candidate_0017,random,2.62480,2.62480,2.62624,0.208,ELITE-VERIFY,nan
candidate_0018,random,2.62770,2.62770,2.63217,0.434,CLAIMABLE,nan
candidate_0019,random,2.62007,2.62007,2.61937,-0.054,below mean,nan
