wavelength_nm,irradiance_W_m2_nm,photon_flux
1113,0.2685,1.5044e+18
1114,0.29985,1.68156e+18
1115,0.24987,1.40253e+18
1116,0.20136,1.13126e+18
1117,0.079618,4.47701e+17
1118,0.21753,1.22429e+18
1119,0.11317,6.37507e+17
1120,0.14189,8.00006e+17
1121,0.18586,1.04885e+18
1122,0.081686,4.61385e+17
1123,0.12817,7.24585e+17
1124,0.1087,6.15062e+17
1125,0.14428,8.17113e+17
1126,0.051589,2.92428e+17
1127,0.15725,8.9215e+17
1128,0.099224,5.63442e+17
1129,0.10591,6.01941e+17
1130,0.070574,4.01464e+17
1131,0.2956,1.68302e+18
1132,0.23411,1.3341e+18
1133,0.15331,8.74427e+17
1134,0.04174,2.38281e+17
1135,0.015462,8.83456e+16
1136,0.12876,7.36347e+17
1137,0.28785,1.64759e+18
1138,0.20329,1.16461e+18
1139,0.2985,1.71156e+18
1140,0.25599,1.4691e+18
1141,0.19337,1.1107e+18
1142,0.22479,1.29231e+18
1143,0.31183,1.79427e+18
1144,0.11326,6.52268e+17
1145,0.14604,8.41784e+17
1146,0.15764,9.0944e+17
1147,0.059176,3.4169e+17
1148,0.27113,1.5669e+18
1149,0.21854,1.26408e+18
1150,0.12164,7.04202e+17
1151,0.2034,1.17855e+18
1152,0.24762,1.43602e+18
1153,0.23812,1.38213e+18
1154,0.14248,8.27719e+17
1155,0.31316,1.82084e+18
1156,0.2809,1.63468e+18
1157,0.31458,1.83226e+18
1158,0.31171,1.81712e+18
1159,0.33693,1.96583e+18
1160,0.28648,1.67292e+18
1161,0.34753,2.03118e+18
1162,0.35002,2.04749e+18
1163,0.46857,2.74333e+18
1164,0.40188,2.3549e+18
1165,0.3886,2.27904e+18
1166,0.37494,2.20082e+18
1167,0.40996,2.40844e+18
1168,0.41954,2.46683e+18
1169,0.4231,2.48989e+18
1170,0.45873,2.70188e+18
1171,0.44831,2.64276e+18
1172,0.45483,2.68349e+18
1173,0.45642,2.69517e+18
1174,0.33692,1.99122e+18
1175,0.4524,2.67598e+18
1176,0.47679,2.82266e+18
1177,0.47235,2.79875e+18
1178,0.36,2.13487e+18
1179,0.48371,2.87093e+18
1180,0.44069,2.61781e+18
1181,0.45514,2.70594e+18
1182,0.32318,1.92303e+18
1183,0.4387,2.61262e+18
1184,0.41985,2.50247e+18
1185,0.40741,2.43038e+18
1186,0.47715,2.84881e+18
1187,0.45575,2.72333e+18
1188,0.33504,2.00372e+18
1189,0.41569,2.48814e+18
1190,0.46239,2.76999e+18
1191,0.4466,2.67765e+18
1192,0.47336,2.84048e+18
1193,0.45434,2.72863e+18
1194,0.4689,2.81843e+18
1195,0.44696,2.68881e+18
1196,0.43131,2.59683e+18
1197,0.47715,2.87523e+18
1198,0.43392,2.61692e+18
1199,0.36489,2.20244e+18
1200,0.44825,2.70785e+18
