wavelength_nm,irradiance_W_m2_nm,photon_flux
725,1.038,3.78842e+18
726,1.0813,3.9519e+18
727,1.085,3.97089e+18
728,1.04,3.81143e+18
729,1.0466,3.84089e+18
730,1.1285,4.14713e+18
731,1.0703,3.93864e+18
732,1.1534,4.25025e+18
733,1.1962,4.41399e+18
734,1.2357,4.56596e+18
735,1.2178,4.50595e+18
736,1.2059,4.46799e+18
737,1.2039,4.46664e+18
738,1.2269,4.55815e+18
739,1.1905,4.42891e+18
740,1.2195,4.54294e+18
741,1.2148,4.53154e+18
742,1.2153,4.53953e+18
743,1.2405,4.6399e+18
744,1.2503,4.68285e+18
745,1.2497,4.6869e+18
746,1.247,4.68305e+18
747,1.2477,4.69196e+18
748,1.2401,4.66962e+18
749,1.2357,4.65927e+18
750,1.2341,4.65945e+18
751,1.2286,4.64487e+18
752,1.233,4.66771e+18
753,1.2266,4.64966e+18
754,1.242,4.71429e+18
755,1.2383,4.70648e+18
756,1.2232,4.65524e+18
757,1.2221,4.65721e+18
758,1.2295,4.6916e+18
759,1.1945,4.56406e+18
760,0.26604,1.01785e+18
761,0.15396,5.89815e+17
762,0.68766,2.63786e+18
763,0.37952,1.45775e+18
764,0.53878,2.07218e+18
765,0.68601,2.64189e+18
766,0.81461,3.14124e+18
767,0.97417,3.76143e+18
768,1.1138,4.30618e+18
769,1.1278,4.36598e+18
770,1.1608,4.49957e+18
771,1.1686,4.53569e+18
772,1.1778,4.57733e+18
773,1.1771,4.58053e+18
774,1.1771,4.58646e+18
775,1.1771,4.59238e+18
776,1.1798,4.60886e+18
777,1.1727,4.58703e+18
778,1.1713,4.58745e+18
779,1.1765,4.61374e+18
780,1.1636,4.569e+18
781,1.1607,4.56346e+18
782,1.1662,4.59096e+18
783,1.1614,4.57791e+18
784,1.1536,4.55297e+18
785,1.1586,4.57853e+18
786,1.1592,4.58674e+18
787,1.145,4.53632e+18
788,1.1305,4.48456e+18
789,1.1257,4.47119e+18
790,1.091,4.33886e+18
791,1.1058,4.40328e+18
792,1.0953,4.36698e+18
793,1.0875,4.34136e+18
794,1.0972,4.38561e+18
795,1.0932,4.37512e+18
796,1.0742,4.30449e+18
797,1.0913,4.3785e+18
798,1.1121,4.46756e+18
799,1.0905,4.38627e+18
800,1.0725,4.31927e+18
801,1.0843,4.37225e+18
802,1.0856,4.38296e+18
803,1.0657,4.30798e+18
804,1.0782,4.36394e+18
805,1.0545,4.27332e+18
806,1.0974,4.4527e+18
807,1.0859,4.4115e+18
808,1.0821,4.40151e+18
809,1.0548,4.29578e+18
810,1.0559,4.30557e+18
811,1.0533,4.30028e+18
812,1.0268,4.19725e+18
813,1.0086,4.12793e+18
814,0.90356,3.70258e+18
815,0.89523,3.67295e+18
816,0.83216,3.41838e+18
817,0.85183,3.50347e+18
818,0.82259,3.38735e+18
819,0.90519,3.73204e+18
820,0.86188,3.55782e+18
821,0.99764,4.12326e+18
822,0.95157,3.93764e+18
823,0.67271,2.78709e+18
824,0.93506,3.87873e+18
825,0.96935,4.02585e+18
826,0.93381,3.88295e+18
827,0.98465,4.09931e+18
828,0.84979,3.54214e+18
829,0.9293,3.87823e+18
830,0.91601,3.82738e+18
831,0.92392,3.86508e+18
832,0.89426,3.7455e+18
833,0.9565,4.011e+18
834,0.93412,3.92186e+18
835,1.0032,4.21694e+18
836,0.97234,4.09211e+18
837,1.0092,4.25232e+18
838,0.99901,4.21441e+18
839,1.0013,4.22912e+18
840,1.0157,4.29505e+18
841,1.0101,4.27645e+18
842,0.99703,4.22614e+18
843,1.0053,4.26625e+18
844,0.98631,4.19063e+18
845,1.0165,4.32402e+18
846,1.0187,4.3385e+18
847,0.9917,4.22851e+18
848,0.99217,4.2355e+18
849,0.98596,4.21396e+18
850,0.89372,3.82423e+18
851,0.97493,4.17663e+18
852,0.96927,4.15726e+18
853,0.96486,4.14321e+18
854,0.85112,3.65908e+18
855,0.913,3.92971e+18
856,0.97317,4.19359e+18
857,0.99166,4.27826e+18
858,0.99196,4.28454e+18
859,0.99171,4.28846e+18
860,0.98816,4.27808e+18
861,0.98679,4.27712e+18
862,0.99449,4.3155e+18
863,1.0005,4.34662e+18
864,0.97916,4.25883e+18
865,0.96324,4.19444e+18
866,0.849,3.70125e+18
867,0.91546,3.9956e+18
868,0.9592,4.19133e+18
869,0.94956,4.15399e+18
870,0.96755,4.23756e+18
871,0.95387,4.18245e+18
872,0.96686,4.24427e+18
873,0.95721,4.20673e+18
874,0.94042,4.13768e+18
875,0.92687,4.08272e+18
876,0.95277,4.20161e+18
877,0.95615,4.22133e+18
878,0.95237,4.20943e+18
879,0.93656,4.14427e+18
880,0.93957,4.16232e+18
881,0.90861,4.02974e+18
882,0.93245,4.14016e+18
883,0.92927,4.13072e+18
884,0.93305,4.15222e+18
885,0.94423,4.20673e+18
886,0.90752,4.04774e+18
887,0.91062,4.06616e+18
888,0.92228,4.12286e+18
889,0.93455,4.18242e+18
890,0.92393,4.13954e+18
891,0.92584,4.15276e+18
892,0.90881,4.08095e+18
893,0.87327,3.92576e+18
894,0.8513,3.83128e+18
895,0.81357,3.66557e+18
896,0.76253,3.43944e+18
897,0.66566,3.00586e+18
898,0.7178,3.24491e+18
899,0.54871,2.48328e+18
900,0.7426,3.3645e+18
901,0.59933,2.7184e+18
902,0.66791,3.03283e+18
903,0.68889,3.13156e+18
904,0.84457,3.8435e+18
905,0.81709,3.72256e+18
906,0.77558,3.53735e+18
907,0.63854,2.91554e+18
908,0.65217,2.98106e+18
