generation,cell,method,true_E60,gain_vs_cell_mean_pct,verdict
v1,jitter_s015,gradient,2.66615,2.403,CLAIMABLE
v1,jitter_s015,gradient,2.65224,1.868,CLAIMABLE
v1,jitter_s015,gradient,2.64202,1.476,CLAIMABLE
v1,jitter_s015,gradient,2.65062,1.806,CLAIMABLE
v1,radius_s015,cmaes,2.63153,1.234,CLAIMABLE
v1,radius_s015,cmaes,2.63562,1.391,CLAIMABLE
v1,radius_s015,cmaes,2.62916,1.143,CLAIMABLE
v1,radius_s015,cmaes,2.6449,1.748,CLAIMABLE
v1,radius_s015,cmaes,2.64065,1.585,CLAIMABLE
v1,radius_s015,cmaes,2.63857,1.505,CLAIMABLE
v1,radius_s015,cmaes,2.643,1.675,CLAIMABLE
v1,radius_s015,cmaes,2.64042,1.576,CLAIMABLE
v1,radius_s015,cmaes,2.63488,1.363,CLAIMABLE
v1,radius_s015,cmaes,2.64119,1.605,CLAIMABLE
v1,radius_s015,cmaes,2.63205,1.254,CLAIMABLE
v1,radius_s015,gradient,2.63475,1.358,CLAIMABLE
v1,radius_s015,gradient,2.64062,1.583,CLAIMABLE
v1,radius_s015,gradient,2.63065,1.2,CLAIMABLE
v1,radius_s015,cmaes,2.63038,1.189,CLAIMABLE
v1,radius_s015,gradient,2.64782,1.861,CLAIMABLE
v1,radius_s015,gradient,2.62521,0.991,CLAIMABLE
v1,radius_s015,gradient,2.63108,1.216,CLAIMABLE
v1,radius_s015,gradient,2.63466,1.354,CLAIMABLE
v1,radius_s015,gradient,2.63839,1.498,CLAIMABLE
v1,radius_s020,cmaes,2.64573,1.612,CLAIMABLE
v1,radius_s020,cmaes,2.64111,1.434,CLAIMABLE
v1,radius_s020,cmaes,2.6543,1.941,CLAIMABLE
v1,radius_s020,cmaes,2.64438,1.56,CLAIMABLE
v1,radius_s020,cmaes,2.66759,2.452,CLAIMABLE
v1,radius_s020,cmaes,2.64263,1.493,CLAIMABLE
v1,radius_s020,cmaes,2.63983,1.386,CLAIMABLE
v1,radius_s020,cmaes,2.63609,1.242,CLAIMABLE
v1,radius_s020,cmaes,2.63918,1.361,CLAIMABLE
v1,radius_s020,cmaes,2.64847,1.717,CLAIMABLE
v1,radius_s020,gradient,2.64072,1.42,CLAIMABLE
v1,radius_s020,gradient,2.65225,1.862,CLAIMABLE
v1,radius_s020,cmaes,2.6435,1.526,CLAIMABLE
v1,radius_s020,gradient,2.64553,1.604,CLAIMABLE
v1,radius_s020,cmaes,2.64306,1.509,CLAIMABLE
v1,radius_s020,gradient,2.64566,1.609,CLAIMABLE
v1,radius_s020,gradient,2.63689,1.272,CLAIMABLE
v1,radius_s020,gradient,2.66294,2.273,CLAIMABLE
v1,radius_s020,gradient,2.6361,1.242,CLAIMABLE
v1,radius_s020,gradient,2.63873,1.343,CLAIMABLE
v1,radius_s025,cmaes,2.64651,2.199,CLAIMABLE
v1,radius_s025,cmaes,2.6401,1.952,CLAIMABLE
v1,radius_s025,cmaes,2.63734,1.845,CLAIMABLE
v1,radius_s025,gradient,2.64009,1.951,CLAIMABLE
v1,radius_s025,cmaes,2.64088,1.982,CLAIMABLE
v1,radius_s025,cmaes,2.63648,1.812,CLAIMABLE
v1,radius_s025,cmaes,2.63725,1.841,CLAIMABLE
v1,radius_s025,cmaes,2.62844,1.501,CLAIMABLE
v1,radius_s025,cmaes,2.64546,2.159,CLAIMABLE
v1,radius_s025,cmaes,2.63965,1.934,CLAIMABLE
v1,radius_s025,cmaes,2.64486,2.135,CLAIMABLE
v1,radius_s025,gradient,2.64143,2.003,CLAIMABLE
v1,radius_s025,cmaes,2.65154,2.393,CLAIMABLE
v1,radius_s025,gradient,2.632,1.639,CLAIMABLE
v1,radius_s025,gradient,2.63902,1.91,CLAIMABLE
v1,radius_s025,gradient,2.63597,1.792,CLAIMABLE
v1,radius_s025,gradient,2.625,1.368,CLAIMABLE
v1,radius_s025,cmaes,2.63142,1.616,CLAIMABLE
v1,radius_s025,gradient,2.64602,2.18,CLAIMABLE
v1,radius_s025,gradient,2.63778,1.862,CLAIMABLE
v2,jitter_s006,cmaes,2.6391,0.885,CLAIMABLE
v2,jitter_s006,cmaes,2.64711,1.191,CLAIMABLE
v2,jitter_s006,cmaes,2.64915,1.269,CLAIMABLE
v2,jitter_s006,cmaes,2.64303,1.035,CLAIMABLE
v2,jitter_s006,cmaes,2.62777,0.452,CLAIMABLE
