name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.64398,2.64301,2.63892,0.571,CLAIMABLE,nan
candidate_0001,cmaes,2.64394,2.64290,2.64570,0.830,CLAIMABLE,nan
candidate_0002,cmaes,2.64396,2.64286,2.64681,0.872,CLAIMABLE,nan
candidate_0003,cmaes,2.64349,2.64282,2.63453,0.404,CLAIMABLE,nan
candidate_0004,cmaes,2.64338,2.64273,2.65485,1.178,CLAIMABLE,nan
candidate_0005,cmaes,2.64382,2.64260,2.63766,0.523,CLAIMABLE,nan
candidate_0006,cmaes,2.64345,2.64260,2.64763,0.903,CLAIMABLE,nan
candidate_0007,cmaes,2.64348,2.64255,2.63744,0.515,CLAIMABLE,nan
candidate_0008,cmaes,2.64307,2.64241,2.64100,0.651,CLAIMABLE,nan
candidate_0009,cmaes,2.64329,2.64232,2.65249,1.088,CLAIMABLE,nan
candidate_0010,cmaes,2.64299,2.64221,2.63595,0.458,CLAIMABLE,nan
candidate_0011,cmaes,2.64211,2.64135,2.63868,0.562,CLAIMABLE,nan
candidate_0012,gradient,2.64121,2.64066,2.64316,0.733,CLAIMABLE,nan
candidate_0013,gradient,2.64105,2.64057,2.65452,1.166,CLAIMABLE,nan
candidate_0014,gradient,2.64090,2.64056,2.63639,0.475,CLAIMABLE,nan
candidate_0015,gradient,2.64102,2.64054,2.63473,0.412,CLAIMABLE,nan
candidate_0016,gradient,2.64086,2.64035,2.64431,0.777,CLAIMABLE,nan
candidate_0017,gradient,2.64100,2.64031,2.64225,0.698,CLAIMABLE,nan
candidate_0018,gradient,2.64089,2.64031,2.65032,1.006,CLAIMABLE,nan
candidate_0019,gradient,2.64082,2.64028,2.64850,0.937,CLAIMABLE,nan
