name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.64248,2.64101,2.65682,1.675,CLAIMABLE,nan
candidate_0001,cmaes,2.64211,2.64063,2.64134,1.082,CLAIMABLE,nan
candidate_0002,cmaes,2.64204,2.64057,2.64540,1.238,CLAIMABLE,nan
candidate_0003,cmaes,2.64183,2.64037,2.63907,0.996,CLAIMABLE,nan
candidate_0004,cmaes,2.64169,2.64024,2.64839,1.352,CLAIMABLE,nan
candidate_0005,cmaes,2.64153,2.64007,2.64650,1.280,CLAIMABLE,nan
candidate_0006,cmaes,2.64118,2.63970,2.64468,1.210,CLAIMABLE,nan
candidate_0007,cmaes,2.64116,2.63968,2.64176,1.098,CLAIMABLE,nan
candidate_0008,cmaes,2.64095,2.63943,2.64095,1.067,CLAIMABLE,nan
candidate_0009,cmaes,2.64045,2.63894,2.64816,1.343,CLAIMABLE,nan
candidate_0010,cmaes,2.64028,2.63879,2.66086,1.829,CLAIMABLE,nan
candidate_0011,cmaes,2.63992,2.63841,2.62643,0.512,CLAIMABLE,nan
candidate_0012,gradient,2.63965,2.63816,2.64492,1.220,CLAIMABLE,nan
candidate_0013,gradient,2.63961,2.63811,2.65600,1.643,CLAIMABLE,nan
candidate_0014,gradient,2.63946,2.63797,2.64007,1.034,CLAIMABLE,nan
candidate_0015,gradient,2.63934,2.63784,2.64989,1.409,CLAIMABLE,nan
candidate_0016,gradient,2.63923,2.63774,2.64255,1.129,CLAIMABLE,nan
candidate_0017,gradient,2.63906,2.63756,2.64065,1.056,CLAIMABLE,nan
candidate_0018,gradient,2.63869,2.63718,2.64720,1.307,CLAIMABLE,nan
candidate_0019,gradient,2.63860,2.63707,2.63902,0.993,CLAIMABLE,nan
