name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.64392,2.64285,2.64285,1.140,CLAIMABLE,nan
candidate_0001,cmaes,2.64379,2.64273,2.65968,1.784,CLAIMABLE,nan
candidate_0002,cmaes,2.64366,2.64256,2.65333,1.541,CLAIMABLE,nan
candidate_0003,cmaes,2.64326,2.64250,2.65353,1.549,CLAIMABLE,nan
candidate_0004,cmaes,2.64325,2.64243,2.63268,0.751,CLAIMABLE,nan
candidate_0005,cmaes,2.64323,2.64208,2.64539,1.238,CLAIMABLE,nan
candidate_0006,cmaes,2.64311,2.64207,2.63974,1.021,CLAIMABLE,nan
candidate_0007,cmaes,2.64290,2.64182,2.65772,1.709,CLAIMABLE,nan
candidate_0008,cmaes,2.64256,2.64180,2.63702,0.917,CLAIMABLE,nan
candidate_0009,cmaes,2.64256,2.64173,2.63302,0.764,CLAIMABLE,nan
candidate_0010,cmaes,2.64146,2.64064,2.64457,1.206,CLAIMABLE,nan
candidate_0011,cmaes,2.64112,2.64040,2.63653,0.898,CLAIMABLE,nan
candidate_0012,gradient,2.64127,2.64030,2.65923,1.767,CLAIMABLE,nan
candidate_0013,gradient,2.64108,2.64019,2.64669,1.287,CLAIMABLE,nan
candidate_0014,gradient,2.64060,2.63994,2.63655,0.899,CLAIMABLE,nan
candidate_0015,gradient,2.64067,2.63982,2.64014,1.037,CLAIMABLE,nan
candidate_0016,gradient,2.64037,2.63978,2.65203,1.491,CLAIMABLE,nan
candidate_0017,gradient,2.64025,2.63958,2.63158,0.709,CLAIMABLE,nan
candidate_0018,gradient,2.64048,2.63957,2.65099,1.452,CLAIMABLE,nan
candidate_0019,gradient,2.64001,2.63937,2.65329,1.540,CLAIMABLE,nan
