name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.63782,2.63728,2.64651,2.199,CLAIMABLE,nan
candidate_0001,cmaes,2.63667,2.63542,2.64010,1.952,CLAIMABLE,nan
candidate_0002,cmaes,2.63582,2.63487,2.63734,1.845,CLAIMABLE,nan
candidate_0003,gradient,2.63559,2.63483,2.64009,1.951,CLAIMABLE,nan
candidate_0004,cmaes,2.63538,2.63478,2.64088,1.982,CLAIMABLE,nan
candidate_0005,cmaes,2.63517,2.63472,2.63648,1.812,CLAIMABLE,nan
candidate_0006,cmaes,2.63575,2.63459,2.63725,1.841,CLAIMABLE,nan
candidate_0007,cmaes,2.63516,2.63435,2.62844,1.501,CLAIMABLE,nan
candidate_0008,cmaes,2.63446,2.63394,2.64546,2.159,CLAIMABLE,nan
candidate_0009,cmaes,2.63432,2.63379,2.63965,1.934,CLAIMABLE,nan
candidate_0010,cmaes,2.63448,2.63346,2.64486,2.135,CLAIMABLE,nan
candidate_0011,gradient,2.63502,2.63294,2.64143,2.003,CLAIMABLE,nan
candidate_0012,cmaes,2.63368,2.63259,2.65154,2.393,CLAIMABLE,nan
candidate_0013,gradient,2.63290,2.63177,2.63200,1.639,CLAIMABLE,nan
candidate_0014,gradient,2.63268,2.63154,2.63902,1.910,CLAIMABLE,nan
candidate_0015,gradient,2.63219,2.63106,2.63597,1.792,CLAIMABLE,nan
candidate_0016,gradient,2.63241,2.63099,2.62500,1.368,CLAIMABLE,nan
candidate_0017,cmaes,2.63183,2.63076,2.63142,1.616,CLAIMABLE,nan
candidate_0018,gradient,2.63167,2.63056,2.64602,2.180,CLAIMABLE,nan
candidate_0019,gradient,2.63166,2.63042,2.63778,1.862,CLAIMABLE,nan
