name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.64351,2.64207,2.64227,0.699,CLAIMABLE,nan
candidate_0001,cmaes,2.64340,2.64195,2.65540,1.199,CLAIMABLE,nan
candidate_0002,cmaes,2.64301,2.64156,2.65150,1.051,CLAIMABLE,nan
candidate_0003,cmaes,2.64295,2.64151,2.65310,1.112,CLAIMABLE,nan
candidate_0004,cmaes,2.64295,2.64150,2.65044,1.010,CLAIMABLE,nan
candidate_0005,cmaes,2.64290,2.64146,2.63923,0.583,CLAIMABLE,nan
candidate_0006,cmaes,2.64289,2.64145,2.66163,1.437,CLAIMABLE,nan
candidate_0007,cmaes,2.64284,2.64138,2.64312,0.731,CLAIMABLE,nan
candidate_0008,cmaes,2.64274,2.64131,2.64126,0.661,CLAIMABLE,nan
candidate_0009,cmaes,2.64269,2.64126,2.64218,0.696,CLAIMABLE,nan
candidate_0010,cmaes,2.64252,2.64107,2.64553,0.823,CLAIMABLE,nan
candidate_0011,cmaes,2.64182,2.64036,2.64365,0.752,CLAIMABLE,nan
candidate_0012,gradient,2.64120,2.63973,2.64663,0.865,CLAIMABLE,nan
candidate_0013,gradient,2.64104,2.63957,2.65621,1.230,CLAIMABLE,nan
candidate_0014,gradient,2.64087,2.63942,2.64372,0.754,CLAIMABLE,nan
candidate_0015,gradient,2.64070,2.63924,2.64443,0.781,CLAIMABLE,nan
candidate_0016,gradient,2.64066,2.63920,2.66569,1.591,CLAIMABLE,nan
candidate_0017,gradient,2.64065,2.63918,2.64222,0.697,CLAIMABLE,nan
candidate_0018,gradient,2.64060,2.63914,2.65551,1.204,CLAIMABLE,nan
candidate_0019,gradient,2.64038,2.63894,2.63812,0.541,CLAIMABLE,nan
