name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.63518,2.63380,2.65243,2.038,CLAIMABLE,nan
candidate_0001,cmaes,2.63510,2.63371,2.65111,1.987,CLAIMABLE,nan
candidate_0002,cmaes,2.63490,2.63353,2.64460,1.737,CLAIMABLE,nan
candidate_0003,cmaes,2.63480,2.63338,2.64564,1.777,CLAIMABLE,nan
candidate_0004,cmaes,2.63476,2.63334,2.65335,2.073,CLAIMABLE,nan
candidate_0005,cmaes,2.63424,2.63281,2.65425,2.108,CLAIMABLE,nan
candidate_0006,cmaes,2.63417,2.63279,2.64471,1.741,CLAIMABLE,nan
candidate_0007,gradient,2.63380,2.63244,2.65471,2.126,CLAIMABLE,nan
candidate_0008,cmaes,2.63372,2.63232,2.65043,1.961,CLAIMABLE,nan
candidate_0009,gradient,2.63352,2.63219,2.64431,1.725,CLAIMABLE,nan
candidate_0010,gradient,2.63341,2.63201,2.64438,1.728,CLAIMABLE,nan
candidate_0011,gradient,2.63335,2.63197,2.65245,2.039,CLAIMABLE,nan
candidate_0012,cmaes,2.63316,2.63179,2.64984,1.938,CLAIMABLE,nan
candidate_0013,gradient,2.63305,2.63169,2.64617,1.797,CLAIMABLE,nan
candidate_0014,gradient,2.63295,2.63160,2.64455,1.735,CLAIMABLE,nan
candidate_0015,gradient,2.63270,2.63131,2.64872,1.895,CLAIMABLE,nan
candidate_0016,gradient,2.63222,2.63084,2.64985,1.939,CLAIMABLE,nan
candidate_0017,cmaes,2.63206,2.63068,2.64665,1.815,CLAIMABLE,nan
candidate_0018,gradient,2.63176,2.63043,2.64666,1.816,CLAIMABLE,nan
candidate_0019,cmaes,2.63102,2.62977,2.64631,1.803,CLAIMABLE,nan
