name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.63733,2.63669,2.64573,1.612,CLAIMABLE,nan
candidate_0001,cmaes,2.63728,2.63644,2.64111,1.434,CLAIMABLE,nan
candidate_0002,cmaes,2.63737,2.63604,2.65430,1.941,CLAIMABLE,nan
candidate_0003,cmaes,2.63670,2.63583,2.64438,1.560,CLAIMABLE,nan
candidate_0004,cmaes,2.63658,2.63575,2.66759,2.452,CLAIMABLE,2.6025545581804757
candidate_0005,cmaes,2.63632,2.63530,2.64263,1.493,CLAIMABLE,nan
candidate_0006,cmaes,2.63575,2.63521,2.63983,1.386,CLAIMABLE,nan
candidate_0007,cmaes,2.63604,2.63512,2.63609,1.242,CLAIMABLE,nan
candidate_0008,cmaes,2.63649,2.63511,2.63918,1.361,CLAIMABLE,nan
candidate_0009,cmaes,2.63623,2.63497,2.64847,1.717,CLAIMABLE,nan
candidate_0010,gradient,2.63514,2.63436,2.64072,1.420,CLAIMABLE,nan
candidate_0011,gradient,2.63516,2.63434,2.65225,1.862,CLAIMABLE,nan
candidate_0012,cmaes,2.63554,2.63433,2.64350,1.526,CLAIMABLE,nan
candidate_0013,gradient,2.63516,2.63419,2.64553,1.604,CLAIMABLE,nan
candidate_0014,cmaes,2.63492,2.63410,2.64306,1.509,CLAIMABLE,nan
candidate_0015,gradient,2.63490,2.63407,2.64566,1.609,CLAIMABLE,nan
candidate_0016,gradient,2.63460,2.63361,2.63689,1.272,CLAIMABLE,nan
candidate_0017,gradient,2.63440,2.63352,2.66294,2.273,CLAIMABLE,nan
candidate_0018,gradient,2.63395,2.63319,2.63610,1.242,CLAIMABLE,nan
candidate_0019,gradient,2.63359,2.63277,2.63873,1.343,CLAIMABLE,nan
