name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.64428,2.64297,2.65221,1.867,CLAIMABLE,nan
candidate_0001,cmaes,2.64381,2.64286,2.65477,1.966,CLAIMABLE,nan
candidate_0002,cmaes,2.64257,2.64170,2.65941,2.144,CLAIMABLE,nan
candidate_0003,cmaes,2.64237,2.64147,2.66736,2.449,CLAIMABLE,2.620576094279926
candidate_0004,cmaes,2.64219,2.64124,2.63850,1.341,CLAIMABLE,nan
candidate_0005,cmaes,2.64195,2.64093,2.64400,1.552,CLAIMABLE,nan
candidate_0006,cmaes,2.64164,2.64074,2.64717,1.673,CLAIMABLE,nan
candidate_0007,cmaes,2.64149,2.64063,2.65473,1.964,CLAIMABLE,nan
candidate_0008,cmaes,2.64144,2.64043,2.62667,0.886,CLAIMABLE,nan
candidate_0009,gradient,2.64135,2.64042,2.65616,2.019,CLAIMABLE,nan
candidate_0010,cmaes,2.64094,2.64020,2.63861,1.345,CLAIMABLE,nan
candidate_0011,gradient,2.64092,2.64005,2.65790,2.086,CLAIMABLE,nan
candidate_0012,cmaes,2.64087,2.63986,2.63457,1.190,CLAIMABLE,nan
candidate_0013,cmaes,2.64022,2.63944,2.64536,1.604,CLAIMABLE,nan
candidate_0014,gradient,2.64018,2.63932,2.66578,2.389,CLAIMABLE,nan
candidate_0015,gradient,2.63973,2.63887,2.64142,1.453,CLAIMABLE,nan
candidate_0016,gradient,2.63970,2.63883,2.66615,2.403,CLAIMABLE,nan
candidate_0017,gradient,2.63921,2.63847,2.65224,1.868,CLAIMABLE,nan
candidate_0018,gradient,2.63925,2.63844,2.64202,1.476,CLAIMABLE,nan
candidate_0019,gradient,2.63901,2.63825,2.65062,1.806,CLAIMABLE,nan
