campaign,class,sigma,n,n_claimable,bank_n,bank_mean,bank_max,champion_E,cand_mean_E,cand_min_E,cand_max_E,mean_gain_pct,champ_gain_pct,mean_gain_sem_pct,best_draw_gain_pct,champ_vs_cell_max_pct,champ_vs_global_max_pct,n_above_cell_max,n_above_global_max,spearman_pred_true,surrogate_bias
jitter_s006,jitter,0.06,20,20,155,2.6159540793251312,2.642179411458847,2.64277,2.6327315000000002,2.62562,2.64277,0.64135,1.025,0.03614606879694781,1.0025150036456765,0.022352325454955135,-0.08072123573436008,1,0,-0.11278195488721804,0.003878797681553037
jitter_s008,jitter,0.08,20,20,155,2.623929846701721,2.6449048907689052,2.65485,2.6432919999999998,2.63453,2.65485,0.73795,1.178,0.05608473265374548,0.7993751850320807,0.3760100888997808,0.37600594350271077,8,8,-0.12631578947368421,-0.000856227189749581
jitter_s010,jitter,0.1,20,20,155,2.6207962121362836,2.638550148964483,2.65973,2.64736,2.64009,2.65973,1.0137,1.486,0.045935028487040945,0.677425308613655,0.8027079206294196,0.5605116251812481,20,10,-0.10676691729323308,-0.004563009148037733
jitter_s0125,jitter,0.125,20,20,155,2.613057891463309,2.6421257138990577,2.65968,2.645328,2.63158,2.65968,1.2349999999999999,1.784,0.07888906267998318,1.112406369974095,0.6644001081627771,0.5586211981148503,12,10,0.20601503759398496,-0.003350500178103788
jitter_s015,jitter,0.15,20,20,155,2.6035945841915313,2.6282671593577978,2.66736,2.6497825,2.62667,2.66736,1.77405,2.449,0.09454312508056838,0.9476350625428731,1.4873998064852012,0.848990795510618,19,13,0.1037593984962406,-0.008626001430161744
radius_s015,radius,0.15,20,20,155,2.599456351270565,2.62308208437874,2.64782,2.6362765,2.62521,2.64782,1.41645,1.861,0.05055197820065996,0.9088720838350328,0.9430858366416217,0.11021189796986963,20,1,0.2736842105263158,-0.007691384926712041
radius_s020,radius,0.2,20,20,155,2.6037573112963113,2.627785410283479,2.66759,2.6452345,2.63609,2.66759,1.5929,2.452,0.0724808468348345,0.9228240620937633,1.5147579996734661,0.8576867600159632,20,8,0.3218045112781955,-0.009561707841854283
radius_s025,radius,0.25,20,20,155,2.5895649827067047,2.620337384627402,2.65154,2.638862,2.625,2.65154,1.9037,2.393,0.05560992433199783,1.1883232174592084,1.1907861772171957,0.2508596717084144,20,4,0.22406015037593985,-0.0046301758213292965
