name,method,pred_E_mean,pred_E_lcb,true_E60,gain_vs_cell_mean_pct,verdict,true_E120
candidate_0000,cmaes,2.64018,2.63883,2.63910,0.885,CLAIMABLE,nan
candidate_0001,cmaes,2.63998,2.63861,2.64711,1.191,CLAIMABLE,nan
candidate_0002,cmaes,2.63993,2.63857,2.64915,1.269,CLAIMABLE,nan
candidate_0003,cmaes,2.63991,2.63855,2.64303,1.035,CLAIMABLE,nan
candidate_0004,cmaes,2.63968,2.63829,2.62777,0.452,CLAIMABLE,nan
candidate_0005,cmaes,2.63959,2.63822,2.63590,0.762,CLAIMABLE,nan
candidate_0006,cmaes,2.63950,2.63812,2.63350,0.671,CLAIMABLE,nan
candidate_0007,cmaes,2.63934,2.63796,2.63431,0.702,CLAIMABLE,nan
candidate_0008,cmaes,2.63908,2.63773,2.63760,0.827,CLAIMABLE,nan
candidate_0009,cmaes,2.63871,2.63734,2.64742,1.203,CLAIMABLE,nan
candidate_0010,cmaes,2.63868,2.63731,2.63040,0.552,CLAIMABLE,nan
candidate_0011,cmaes,2.63855,2.63718,2.63609,0.770,CLAIMABLE,nan
candidate_0012,gradient,2.63787,2.63648,2.64476,1.101,CLAIMABLE,nan
candidate_0013,gradient,2.63774,2.63635,2.64390,1.068,CLAIMABLE,nan
candidate_0014,gradient,2.63740,2.63601,2.65079,1.331,CLAIMABLE,nan
candidate_0015,gradient,2.63736,2.63597,2.63758,0.827,CLAIMABLE,nan
candidate_0016,gradient,2.63732,2.63592,2.62919,0.506,CLAIMABLE,nan
candidate_0017,gradient,2.63730,2.63592,2.64479,1.102,CLAIMABLE,nan
candidate_0018,gradient,2.63714,2.63576,2.63443,0.706,CLAIMABLE,nan
candidate_0019,gradient,2.63710,2.63570,2.63911,0.885,CLAIMABLE,nan
